locus_tag	ftype	gene	EC_number	product
LFT_01384	CDS			hypothetical protein
LFT_01385	CDS	purB	4.3.2.2	Adenylosuccinate lyase
LFT_01386	CDS	purC	6.3.2.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase
LFT_01387	CDS	purS	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurS
LFT_01388	CDS			hypothetical protein
LFT_01389	CDS	iaaA	3.4.19.5	Isoaspartyl peptidase
LFT_01390	CDS			hypothetical protein
LFT_01391	CDS	ackA	2.7.2.1	Acetate kinase
LFT_01392	CDS	menG	2.1.1.163	Demethylmenaquinone methyltransferase
LFT_01393	CDS	fecA_1		Fe(3+) dicitrate transport protein FecA
	sig_peptide			putative signal peptide
LFT_01394	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01395	CDS			hypothetical protein
LFT_01396	CDS	exbB_2		Biopolymer transport protein ExbB
LFT_01397	CDS	ybhR_1		Inner membrane transport permease YbhR
LFT_01398	CDS	ybhS		Inner membrane transport permease YbhS
LFT_01399	CDS	ybhF_1		putative ABC transporter ATP-binding protein YbhF
LFT_01400	CDS	macA_1		Macrolide export protein MacA
LFT_01401	CDS	tolC_4		Outer membrane protein TolC
LFT_01402	CDS			Cytochrome c-551
	sig_peptide			putative signal peptide
LFT_01403	CDS	xpkA	4.1.2.9	Xylulose-5-phosphate phosphoketolase
LFT_01404	CDS	fbaB	4.1.2.13	Fructose-bisphosphate aldolase class 1
LFT_01405	CDS	pdhD_1	1.8.1.4	Dihydrolipoyl dehydrogenase
LFT_01406	CDS	pdhD_2	1.8.1.4	Dihydrolipoyl dehydrogenase
LFT_01407	CDS	fcl_1	1.1.1.271	GDP-L-fucose synthase
LFT_01408	CDS	glgP	2.4.1.1	Glycogen phosphorylase
LFT_01409	CDS	pgm_1	5.4.2.2	Phosphoglucomutase
LFT_01410	CDS	pgm_2	5.4.2.2	Phosphoglucomutase
LFT_01411	CDS			hypothetical protein
LFT_01412	CDS	ccoN1_1	1.9.3.1	Cbb3-type cytochrome c oxidase subunit CcoN1
LFT_01413	CDS			hypothetical protein
LFT_01414	CDS	hsrA_2		putative transport protein HsrA
LFT_01415	CDS			hypothetical protein
LFT_01416	CDS	ettA		Energy-dependent translational throttle protein EttA
LFT_01417	CDS			hypothetical protein
LFT_01418	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01419	CDS	yiaD		putative lipoprotein YiaD
	sig_peptide			putative signal peptide
LFT_01420	CDS			hypothetical protein
LFT_01421	CDS	cpdA_3	3.1.4.53	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LFT_01422	CDS	recF		DNA replication and repair protein RecF
LFT_01423	CDS	yhaO		putative metallophosphoesterase YhaO
LFT_01424	CDS			hypothetical protein
LFT_01425	CDS			hypothetical protein
LFT_01426	CDS			hypothetical protein
LFT_01427	CDS	esiB_2		Secretory immunoglobulin A-binding protein EsiB
	sig_peptide			putative signal peptide
LFT_01428	CDS	degQ	3.4.21.107	Periplasmic pH-dependent serine endoprotease DegQ
	sig_peptide			putative signal peptide
LFT_01429	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01430	CDS			hypothetical protein
LFT_01431	CDS			hypothetical protein
LFT_01432	CDS			hypothetical protein
LFT_01433	CDS			hypothetical protein
LFT_01434	CDS			hypothetical protein
LFT_01435	CDS			hypothetical protein
LFT_01436	CDS			hypothetical protein
LFT_01437	CDS			hypothetical protein
LFT_01438	CDS			hypothetical protein
LFT_01439	CDS			hypothetical protein
LFT_01440	CDS			hypothetical protein
LFT_01441	CDS			hypothetical protein
LFT_01442	CDS			hypothetical protein
LFT_01443	CDS			hypothetical protein
LFT_01444	CDS			hypothetical protein
LFT_01445	CDS			hypothetical protein
LFT_01446	CDS	bicA		Bicarbonate transporter BicA
LFT_01447	CDS			hypothetical protein
LFT_01448	CDS			hypothetical protein
LFT_01449	tRNA			tRNA-Arg(cct)
LFT_01450	CDS			hypothetical protein
LFT_01451	CDS	amiA	3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiA
LFT_01452	CDS			hypothetical protein
LFT_01453	CDS			hypothetical protein
LFT_01454	CDS			hypothetical protein
LFT_01455	CDS			hypothetical protein
LFT_01456	CDS	trpS	6.1.1.2	Tryptophan--tRNA ligase
LFT_01457	CDS	accA	6.4.1.2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
LFT_01458	CDS	dnaE	2.7.7.7	DNA polymerase III subunit alpha
LFT_01459	CDS	pcrA_1	3.6.4.12	ATP-dependent DNA helicase PcrA
LFT_01460	CDS			hypothetical protein
LFT_01461	CDS	mcpA		Methyl-accepting chemotaxis protein McpA
LFT_01462	rRNA			16S ribosomal RNA
LFT_01463	tRNA			tRNA-Ile(gat)
LFT_01464	tRNA			tRNA-Ala(tgc)
LFT_01465	rRNA			23S ribosomal RNA
LFT_01466	rRNA			5S ribosomal RNA
LFT_01467	CDS	hndC_3	1.12.1.3	NADP-reducing hydrogenase subunit HndC
LFT_01468	CDS	nth	4.2.99.18	Endonuclease III
LFT_01469	CDS	yocK		General stress protein 16O
LFT_01470	CDS	lgt	2.4.99.-	Prolipoprotein diacylglyceryl transferase
LFT_01471	CDS	pctB		Methyl-accepting chemotaxis protein PctB
LFT_01472	CDS	cymR		HTH-type transcriptional regulator CymR
LFT_01473	CDS			hypothetical protein
LFT_01474	CDS			Sugar transporter SemiSWEET
LFT_01475	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01476	CDS	ytrF		ABC transporter permease YtrF
LFT_01477	CDS			putative ABC transporter ATP-binding protein
LFT_01478	CDS	Hgd	1.1.1.291	2-(hydroxymethyl)glutarate dehydrogenase
LFT_01479	CDS			hypothetical protein
LFT_01480	CDS			hypothetical protein
LFT_01481	CDS			hypothetical protein
LFT_01482	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01483	CDS			hypothetical protein
LFT_01484	CDS			hypothetical protein
LFT_01485	CDS			hypothetical protein
LFT_01486	CDS			hypothetical protein
LFT_01487	CDS	ravA	3.6.3.-	ATPase RavA
LFT_01488	CDS			hypothetical protein
LFT_01489	CDS	hemN_2	1.3.99.-	Oxygen-independent coproporphyrinogen-III oxidase-like protein
LFT_01490	CDS	xerD_3		Tyrosine recombinase XerD
LFT_01491	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01492	CDS			hypothetical protein
LFT_01493	CDS	sir_2	1.8.7.1	Sulfite reductase [ferredoxin]
LFT_01494	CDS			hypothetical protein
LFT_01495	CDS	desA2	1.14.19.-	Putative acyl-[acyl-carrier-protein] desaturase DesA2
LFT_01496	CDS	glgA	2.4.1.21	Glycogen synthase
LFT_01497	CDS			hypothetical protein
LFT_01498	CDS			hypothetical protein
LFT_01499	CDS	crp		CRP-like cAMP-activated global transcriptional regulator
LFT_01500	CDS	mltD	4.2.2.-	Membrane-bound lytic murein transglycosylase D
	sig_peptide			putative signal peptide
LFT_01501	CDS			hypothetical protein
LFT_01502	CDS			Ferredoxin, 2Fe-2S
LFT_01503	CDS	hndC_4	1.12.1.3	NADP-reducing hydrogenase subunit HndC
LFT_01504	CDS	purE	5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase
LFT_01505	CDS	purK	6.3.4.18	N5-carboxyaminoimidazole ribonucleotide synthase
LFT_01506	CDS			hypothetical protein
LFT_01507	CDS			hypothetical protein
LFT_01508	CDS	cyaA	4.6.1.1	Adenylate cyclase 1
LFT_01509	CDS			hypothetical protein
LFT_01510	CDS			PE-PGRS family protein PE_PGRS18
LFT_01511	CDS	nanM	5.1.3.24	N-acetylneuraminate epimerase
LFT_01512	CDS	esiB_3		Secretory immunoglobulin A-binding protein EsiB
LFT_01513	CDS			hypothetical protein
LFT_01514	CDS			hypothetical protein
LFT_01515	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01516	CDS			hypothetical protein
LFT_01517	CDS	mlaF_2	3.6.3.-	putative phospholipid import ATP-binding protein MlaF
LFT_01518	CDS	mlaE_2		putative phospholipid ABC transporter permease protein MlaE
LFT_01519	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01520	CDS			hypothetical protein
LFT_01521	CDS	cspLA		Cold shock-like protein CspLA
LFT_01522	CDS			hypothetical protein
LFT_01523	CDS	xcpV		Type II secretion system protein I
LFT_01524	CDS			hypothetical protein
LFT_01525	CDS	dnaB	3.6.4.12	Replicative DNA helicase
LFT_01526	CDS	hisZ		ATP phosphoribosyltransferase regulatory subunit
LFT_01527	CDS	serA	1.1.1.95	D-3-phosphoglycerate dehydrogenase
LFT_01528	CDS		2.6.1.51	Serine-pyruvate aminotransferase
LFT_01529	CDS	oppA		Periplasmic oligopeptide-binding protein
LFT_01530	rRNA			5S ribosomal RNA
LFT_01531	rRNA			23S ribosomal RNA
LFT_01532	tRNA			tRNA-Ala(tgc)
LFT_01533	tRNA			tRNA-Ile(gat)
LFT_01534	rRNA			16S ribosomal RNA
LFT_01535	CDS	guaA_1	6.3.5.2	GMP synthase [glutamine-hydrolyzing]
LFT_01536	CDS	czcA_2		Cobalt-zinc-cadmium resistance protein CzcA
LFT_01537	CDS	czcB_1		Cobalt-zinc-cadmium resistance protein CzcB
	sig_peptide			putative signal peptide
LFT_01538	CDS	tyrS	6.1.1.1	Tyrosine--tRNA ligase
LFT_01539	CDS			hypothetical protein
LFT_01540	CDS			hypothetical protein
LFT_01541	CDS	ndk	2.7.4.6	Nucleoside diphosphate kinase
LFT_01542	CDS			hypothetical protein
LFT_01543	CDS	chmD	1.1.1.364	dTDP-4-oxo-6-deoxy-D-allose reductase
LFT_01544	CDS			hypothetical protein
LFT_01545	CDS	sfsA		Sugar fermentation stimulation protein A
LFT_01546	CDS	rkpK	1.1.1.22	UDP-glucose 6-dehydrogenase
LFT_01547	CDS	thiO	1.4.3.19	Glycine oxidase
LFT_01548	CDS			hypothetical protein
LFT_01549	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01550	CDS			putative transcriptional regulatory protein
LFT_01551	CDS	pheA		P-protein
LFT_01552	CDS	aroF	2.5.1.54	Phospho-2-dehydro-3-deoxyheptonate aldolase
LFT_01553	CDS	tyrA	1.3.1.12	Prephenate dehydrogenase
	sig_peptide			putative signal peptide
LFT_01554	CDS	aroA1	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase 1
LFT_01555	CDS	cmk	2.7.4.25	Cytidylate kinase
LFT_01556	CDS	plsC	2.3.1.-	1-acyl-sn-glycerol-3-phosphate acyltransferase
LFT_01557	CDS			hypothetical protein
LFT_01558	CDS			hypothetical protein
LFT_01559	CDS		6.3.3.2	5-formyltetrahydrofolate cyclo-ligase
LFT_01560	CDS	folE	3.5.4.16	GTP cyclohydrolase 1
LFT_01561	CDS	folD		Bifunctional protein FolD protein
LFT_01562	CDS	yitJ		Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
LFT_01563	CDS	panB	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
LFT_01564	CDS			hypothetical protein
LFT_01565	CDS	xthA	3.1.11.2	Exodeoxyribonuclease III
LFT_01566	CDS	desA1	1.14.19.-	Putative acyl-[acyl-carrier-protein] desaturase DesA1
LFT_01567	CDS	bdlA_2		Biofilm dispersion protein BdlA
LFT_01568	CDS		1.-.-.-	putative FAD-linked oxidoreductase
LFT_01569	CDS	yhaM	3.1.-.-	3'-5' exoribonuclease YhaM
LFT_01570	CDS	gltS	1.4.7.1	Ferredoxin-dependent glutamate synthase 2
LFT_01571	CDS			hypothetical protein
LFT_01572	CDS	sigA		RNA polymerase sigma factor SigA
LFT_01573	CDS	acyP	3.6.1.7	Acylphosphatase
LFT_01574	tRNA			tRNA-Pro(cgg)
LFT_01575	CDS	fumC	4.2.1.2	Fumarate hydratase class II
LFT_01576	CDS			hypothetical protein
LFT_01577	CDS	cobD_1	4.1.1.81	Threonine-phosphate decarboxylase
LFT_01578	CDS	cobD_2		Cobalamin biosynthesis protein CobD
LFT_01579	CDS	cobQ		Cobyric acid synthase
LFT_01580	CDS			hypothetical protein
LFT_01581	CDS	ilvD_3	4.2.1.9	Dihydroxy-acid dehydratase
LFT_01582	CDS			hypothetical protein
LFT_01583	CDS			hypothetical protein
LFT_01584	CDS			hypothetical protein
LFT_01585	CDS	tsrM	2.1.1.106	Tryptophan 2-C-methyltransferase
LFT_01586	CDS			hypothetical protein
LFT_01587	CDS			hypothetical protein
LFT_01588	CDS	cbiF	2.1.1.271	Cobalt-precorrin-4 C(11)-methyltransferase
LFT_01589	CDS			hypothetical protein
LFT_01590	CDS	cbiL	2.1.1.151	Cobalt-precorrin-2 C(20)-methyltransferase
LFT_01591	CDS	yacG		DNA gyrase inhibitor YacG
LFT_01592	CDS	ribE	2.5.1.9	Riboflavin synthase
LFT_01593	CDS	ribD		Riboflavin biosynthesis protein RibD
LFT_01594	CDS	glyS	6.1.1.14	Glycine--tRNA ligase beta subunit
LFT_01595	CDS	glyQ	6.1.1.14	Glycine--tRNA ligase alpha subunit
LFT_01596	CDS	gmr_3	3.1.4.52	Cyclic di-GMP phosphodiesterase Gmr
LFT_01597	CDS	bioB	2.8.1.6	Biotin synthase
LFT_01598	CDS	bioW	6.2.1.14	6-carboxyhexanoate--CoA ligase
LFT_01599	CDS	bioF	2.3.1.47	8-amino-7-oxononanoate synthase 2
LFT_01600	CDS	guaB_1	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
LFT_01601	CDS	pbpB		Penicillin-binding protein 2B
LFT_01602	CDS			hypothetical protein
LFT_01603	CDS			hypothetical protein
LFT_01604	CDS			hypothetical protein
LFT_01605	CDS	gmk	2.7.4.8	Guanylate kinase
LFT_01606	CDS	rpoZ	2.7.7.6	DNA-directed RNA polymerase subunit omega
LFT_01607	CDS	coaBC		Coenzyme A biosynthesis bifunctional protein CoaBC
LFT_01608	CDS	bepA_7	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_01609	CDS	aroQ	4.2.1.10	3-dehydroquinate dehydratase
LFT_01610	CDS	efp		Elongation factor P
LFT_01611	CDS	accB		Biotin carboxyl carrier protein of acetyl-CoA carboxylase
LFT_01612	CDS	accC_1	6.3.4.14	Biotin carboxylase
LFT_01613	CDS	accC_2	6.3.4.14	Biotin carboxylase
LFT_01614	CDS	thiE	2.5.1.3	Thiamine-phosphate synthase
LFT_01615	CDS	cph2		Phytochrome-like protein cph2
LFT_01616	CDS	rcp1		Response regulator rcp1
LFT_01617	CDS	cph1_1	2.7.13.3	Phytochrome-like protein cph1
LFT_01618	CDS	cph1_2	2.7.13.3	Phytochrome-like protein cph1
LFT_01619	CDS			hypothetical protein
LFT_01620	CDS			hypothetical protein
LFT_01621	CDS			hypothetical protein
LFT_01622	CDS			hypothetical protein
LFT_01623	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01624	CDS			hypothetical protein
LFT_01625	CDS			hypothetical protein
LFT_01626	CDS	bioD1	6.3.3.3	ATP-dependent dethiobiotin synthetase BioD 1
LFT_01627	CDS			hypothetical protein
LFT_01628	CDS	fdtB	2.6.1.90	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
LFT_01629	CDS	bepA_8	3.4.-.-	Beta-barrel assembly-enhancing protease
LFT_01630	CDS			hypothetical protein
LFT_01631	CDS			hypothetical protein
LFT_01632	CDS	hbd	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase
LFT_01633	CDS			hypothetical protein
LFT_01634	CDS	mphP	1.14.13.7	Phenol hydroxylase P5 protein
LFT_01635	CDS			hypothetical protein
LFT_01636	CDS	ybhF_2		putative ABC transporter ATP-binding protein YbhF
LFT_01637	CDS			hypothetical protein
LFT_01638	CDS			hypothetical protein
LFT_01639	CDS	bepC		Outer membrane efflux protein BepC
	sig_peptide			putative signal peptide
LFT_01640	CDS	cmpR_2		HTH-type transcriptional activator CmpR
LFT_01641	CDS	swrC		Swarming motility protein SwrC
LFT_01642	CDS	mdtA		Multidrug resistance protein MdtA
LFT_01643	CDS	oprM_1		Outer membrane protein OprM
LFT_01644	CDS	kstR2_2		HTH-type transcriptional repressor KstR2
LFT_01645	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01646	CDS			hypothetical protein
LFT_01647	CDS	purQ	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurQ
LFT_01648	CDS	purL	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurL
LFT_01649	CDS	purF	2.4.2.14	Amidophosphoribosyltransferase
LFT_01650	CDS			hypothetical protein
LFT_01651	CDS	hldD	5.1.3.20	ADP-L-glycero-D-manno-heptose-6-epimerase
LFT_01652	CDS			hypothetical protein
LFT_01653	CDS			hypothetical protein
LFT_01654	CDS	bacE		Putative bacilysin exporter BacE
LFT_01655	CDS	pimA	2.4.1.57	Phosphatidyl-myo-inositol mannosyltransferase
LFT_01656	CDS	otsA	2.4.1.15	Trehalose-6-phosphate synthase
LFT_01657	CDS	otsB	3.1.3.12	Trehalose-phosphate phosphatase
LFT_01658	CDS	rmlD	1.1.1.133	dTDP-4-dehydrorhamnose reductase
LFT_01659	CDS			hypothetical protein
LFT_01660	CDS	rplQ		50S ribosomal protein L17
LFT_01661	CDS	rpoA	2.7.7.6	DNA-directed RNA polymerase subunit alpha
LFT_01662	CDS	rpsD		30S ribosomal protein S4
LFT_01663	CDS	rpsM		30S ribosomal protein S13
LFT_01664	CDS	infA		Translation initiation factor IF-1
LFT_01665	CDS	map	3.4.11.18	Methionine aminopeptidase 1
LFT_01666	CDS	adk	2.7.4.3	Adenylate kinase
LFT_01667	CDS	secY		Protein translocase subunit SecY
LFT_01668	CDS	rplO		50S ribosomal protein L15
LFT_01669	CDS	rpsE		30S ribosomal protein S5
LFT_01670	CDS	rplR		50S ribosomal protein L18
LFT_01671	CDS	rplF		50S ribosomal protein L6
LFT_01672	CDS	rpsH		30S ribosomal protein S8
LFT_01673	CDS	rplE		50S ribosomal protein L5
LFT_01674	CDS	rpmC		50S ribosomal protein L29
LFT_01675	CDS	rpsC		30S ribosomal protein S3
LFT_01676	CDS	rplV		50S ribosomal protein L22
LFT_01677	CDS	rpsS		30S ribosomal protein S19
LFT_01678	CDS	rplB		50S ribosomal protein L2
LFT_01679	CDS	rplW		50S ribosomal protein L23
LFT_01680	CDS	rplD		50S ribosomal protein L4
LFT_01681	CDS	rplC		50S ribosomal protein L3
LFT_01682	CDS	rpsJ		30S ribosomal protein S10
LFT_01683	CDS	tufA_1		Elongation factor Tu
LFT_01684	CDS	fusA		Elongation factor G
LFT_01685	CDS	rpsG		30S ribosomal protein S7
LFT_01686	CDS	rpsL		30S ribosomal protein S12
LFT_01687	CDS	rpoC	2.7.7.6	DNA-directed RNA polymerase subunit beta'
LFT_01688	CDS	rpoB	2.7.7.6	DNA-directed RNA polymerase subunit beta
LFT_01689	CDS	rplL		50S ribosomal protein L7/L12
LFT_01690	CDS	rplJ		50S ribosomal protein L10
LFT_01691	CDS	rplA		50S ribosomal protein L1
LFT_01692	CDS	rplK		50S ribosomal protein L11
LFT_01693	CDS	nusG		Transcription termination/antitermination protein NusG
LFT_01694	CDS	secE		Protein translocase subunit SecE
LFT_01695	tRNA			tRNA-Trp(cca)
LFT_01696	CDS	tufA_2		Elongation factor Tu
LFT_01697	tRNA			tRNA-Thr(ggt)
LFT_01698	tRNA			tRNA-Gly(tcc)
LFT_01699	tRNA			tRNA-Tyr(gta)
LFT_01700	CDS			hypothetical protein
LFT_01701	CDS	ndbB	1.6.5.12	Demethylphylloquinone reductase NdbB
LFT_01702	tRNA			tRNA-Leu(tag)
LFT_01703	CDS	rimO	2.8.4.4	Ribosomal protein S12 methylthiotransferase RimO
LFT_01704	CDS			hypothetical protein
LFT_01705	CDS			hypothetical protein
LFT_01706	CDS			hypothetical protein
LFT_01707	CDS	rlpA	4.2.2.-	Endolytic peptidoglycan transglycosylase RlpA
LFT_01708	CDS			hypothetical protein
LFT_01709	CDS	rpsR		30S ribosomal protein S18
LFT_01710	CDS	ssb_2		Single-stranded DNA-binding protein
LFT_01711	CDS	rpsF		30S ribosomal protein S6
LFT_01712	CDS	ychF		Ribosome-binding ATPase YchF
LFT_01713	CDS	pth	3.1.1.29	Peptidyl-tRNA hydrolase
LFT_01714	CDS	ctc		General stress protein CTC
LFT_01715	CDS	prs	2.7.6.1	Ribose-phosphate pyrophosphokinase
LFT_01716	tRNA			tRNA-Gln(ttg)
LFT_01717	CDS	ispE	2.7.1.148	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LFT_01718	CDS			hypothetical protein
LFT_01719	CDS	pgsA_1	2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LFT_01720	CDS			hypothetical protein
LFT_01721	CDS			hypothetical protein
LFT_01722	CDS	clpX		ATP-dependent Clp protease ATP-binding subunit ClpX
LFT_01723	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
LFT_01724	CDS	tig	5.2.1.8	Trigger factor
LFT_01725	CDS	hpxO	1.14.13.113	FAD-dependent urate hydroxylase
LFT_01726	CDS			hypothetical protein
LFT_01727	CDS	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase
LFT_01728	CDS	tal	2.2.1.2	Transaldolase
LFT_01729	CDS	tkt	2.2.1.1	Transketolase
LFT_01730	CDS	pgl	3.1.1.31	6-phosphogluconolactonase
LFT_01731	CDS	glk	2.7.1.2	Glucokinase
LFT_01732	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01733	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01734	CDS			hypothetical protein
LFT_01735	CDS			hypothetical protein
LFT_01736	CDS			hypothetical protein
LFT_01737	CDS			hypothetical protein
LFT_01738	CDS			hypothetical protein
LFT_01739	CDS	albA	1.21.98.-	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA
LFT_01740	CDS	qorA	1.6.5.5	Quinone oxidoreductase 1
LFT_01741	CDS	pphA	3.1.3.16	Serine/threonine-protein phosphatase 1
LFT_01742	CDS	hemY_1	1.3.3.4	Protoporphyrinogen oxidase
LFT_01743	CDS	hemY_2	1.3.3.4	Protoporphyrinogen oxidase
LFT_01744	CDS			hypothetical protein
LFT_01745	CDS	arnE_2		4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
LFT_01746	CDS	eriC		Chloride/fluoride channel protein
LFT_01747	tRNA			tRNA-Arg(ccg)
LFT_01748	CDS	xerD_4		Tyrosine recombinase XerD
LFT_01749	CDS			hypothetical protein
LFT_01750	CDS			hypothetical protein
LFT_01751	CDS			hypothetical protein
LFT_01752	CDS			hypothetical protein
LFT_01753	CDS			Antitoxin VapB39
LFT_01754	CDS		3.1.-.-	Ribonuclease VapC44
LFT_01755	CDS			hypothetical protein
LFT_01756	CDS	bdlA_3		Biofilm dispersion protein BdlA
LFT_01757	CDS			hypothetical protein
LFT_01758	CDS			hypothetical protein
LFT_01759	CDS			hypothetical protein
LFT_01760	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01761	CDS	gpr_1	1.1.1.-	L-glyceraldehyde 3-phosphate reductase
LFT_01762	CDS	alkA		putative bifunctional transcriptional activator/DNA repair enzyme AlkA
LFT_01763	CDS	adaB	2.1.1.63	Methylated-DNA--protein-cysteine methyltransferase, inducible
LFT_01764	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01765	CDS	ycf3		Photosystem I assembly protein Ycf3
	sig_peptide			putative signal peptide
LFT_01766	CDS			hypothetical protein
LFT_01767	CDS			hypothetical protein
LFT_01768	CDS		3.2.2.-	Putative 3-methyladenine DNA glycosylase
LFT_01769	CDS			hypothetical protein
LFT_01770	CDS			hypothetical protein
LFT_01771	CDS			hypothetical protein
LFT_01772	CDS	yceI		Protein YceI
	sig_peptide			putative signal peptide
LFT_01773	CDS			hypothetical protein
LFT_01774	CDS	higA_3		Antitoxin HigA
LFT_01775	CDS	hyfB_1	1.-.-.-	Hydrogenase-4 component B
LFT_01776	CDS	hycD		Formate hydrogenlyase subunit 4
LFT_01777	CDS			hypothetical protein
LFT_01778	CDS	hyfB_2	1.-.-.-	Hydrogenase-4 component B
LFT_01779	CDS	hycE		Formate hydrogenlyase subunit 5
LFT_01780	CDS	hycG		Formate hydrogenlyase subunit 7
LFT_01781	CDS			hypothetical protein
LFT_01782	CDS			hypothetical protein
LFT_01783	CDS			hypothetical protein
LFT_01784	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01785	CDS			hypothetical protein
LFT_01786	CDS			hypothetical protein
LFT_01787	CDS			hypothetical protein
LFT_01788	CDS			Antitoxin VapB47
LFT_01789	CDS		3.1.-.-	Ribonuclease VapC22
LFT_01790	CDS			hypothetical protein
LFT_01791	CDS			hypothetical protein
LFT_01792	CDS	fitA		Antitoxin FitA
LFT_01793	CDS	fitB	3.1.-.-	Toxin FitB
LFT_01794	CDS			hypothetical protein
LFT_01795	CDS			hypothetical protein
LFT_01796	CDS			hypothetical protein
LFT_01797	CDS	rpfG_3	3.1.4.52	Cyclic di-GMP phosphodiesterase response regulator RpfG
LFT_01798	CDS			hypothetical protein
LFT_01799	CDS	nemR		HTH-type transcriptional repressor NemR
LFT_01800	CDS			hypothetical protein
LFT_01801	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_01802	CDS			hypothetical protein
LFT_01803	CDS	hpnP_2	2.1.1.-	Hopanoid C-2 methylase
LFT_01804	CDS	hddA	2.7.1.168	D-glycero-alpha-D-manno-heptose 7-phosphate kinase
LFT_01805	CDS	fcl_2	1.1.1.271	GDP-L-fucose synthase
LFT_01806	CDS	acoA	1.1.1.-	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
LFT_01807	CDS	bfmBAB	1.2.4.4	2-oxoisovalerate dehydrogenase subunit beta
LFT_01808	CDS	colD	2.6.1.54	GDP-4-keto-6-deoxy-D-mannose-3-dehydratase / pyridoxamine-phosphate transaminase
LFT_01809	CDS	hddC_1	2.7.7.71	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
LFT_01810	CDS	strE	4.2.1.46	dTDP-glucose 4,6-dehydratase
LFT_01811	CDS			hypothetical protein
LFT_01812	CDS			hypothetical protein
LFT_01813	CDS			hypothetical protein
LFT_01814	CDS			hypothetical protein
LFT_01815	CDS			hypothetical protein
LFT_01816	CDS			Insertion sequence IS5376 putative ATP-binding protein
LFT_01817	CDS			hypothetical protein
LFT_01818	CDS			Insertion sequence IS5376 putative ATP-binding protein
LFT_01819	CDS			Insertion sequence IS5376 putative ATP-binding protein
LFT_01820	CDS			hypothetical protein
LFT_01821	CDS			hypothetical protein
LFT_01822	CDS			hypothetical protein
LFT_01823	CDS			hypothetical protein
LFT_01824	CDS			hypothetical protein
LFT_01825	CDS			hypothetical protein
LFT_01826	CDS			hypothetical protein
LFT_01827	CDS			hypothetical protein
LFT_01828	CDS			hypothetical protein
LFT_01829	CDS			Insertion sequence IS5376 putative ATP-binding protein
LFT_01830	CDS			Insertion sequence IS5376 putative ATP-binding protein
LFT_01831	CDS			hypothetical protein
LFT_01832	CDS			hypothetical protein
LFT_01833	CDS			hypothetical protein
LFT_01834	CDS			hypothetical protein
LFT_01835	CDS			hypothetical protein
LFT_01836	CDS	mfpsA	2.4.1.246	Mannosylfructose-phosphate synthase
LFT_01837	CDS			hypothetical protein
LFT_01838	CDS	mshA_2	2.4.1.250	D-inositol-3-phosphate glycosyltransferase
LFT_01839	CDS	tagH	3.6.3.40	Teichoic acids export ATP-binding protein TagH
LFT_01840	CDS			hypothetical protein
LFT_01841	CDS	gumD	2.7.8.31	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
