BLASTX 2.9.0+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: NCBI Protein Reference Sequences
           155,334,636 sequences; 58,941,098,972 total letters



Query= ENA|OBMB01000001|OBMB01000001.1 Leptospirillum ferriphilum isolate
pb_238 genome assembly, contig: unitig_0_quiver

Length=1740
                                                                      Score        E
Length=220

 Score = 104 bits (259),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 61/163 (37%), Positives = 87/163 (53%), Gaps = 9/163 (6%)
 Frame = -3
--
>WP_099577991.1 dTMP kinase [Caulobacter sp. FWC2]
Length=208

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 59/152 (39%), Positives = 83/152 (55%), Gaps = 9/152 (6%)
 Frame = -3
--
>WP_086450085.1 dTMP kinase [Marivivens niveibacter]
Length=205

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 52/104 (50%), Positives = 67/104 (64%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_155341423.1 dTMP kinase [Acrocarpospora corrugata]
Length=684

 Score = 99.8 bits (247),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 54/127 (43%), Positives = 77/127 (61%), Gaps = 18/127 (14%)
 Frame = -3
--
>WP_050527707.1 dTMP kinase [Pseudorhodobacter aquimaris]
Length=210

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 56/157 (36%), Positives = 87/157 (55%), Gaps = 9/157 (6%)
 Frame = -3
--
>WP_079320780.1 dTMP kinase [Microbispora sp. GKU 823]
Length=687

 Score = 97.1 bits (240),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_137194478.1 dTMP kinase [Pseudorhodobacter sp. S12M18]
Length=210

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 57/157 (36%), Positives = 87/157 (55%), Gaps = 9/157 (6%)
 Frame = -3
--
>WP_022715614.1 dTMP kinase [Rhizobium mongolense]
Length=227

 Score = 104 bits (259),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 60/153 (39%), Positives = 85/153 (56%), Gaps = 9/153 (6%)
 Frame = -3
--
>WP_037245274.1 dTMP kinase [Roseovarius sp. MCTG156(2b)]
Length=208

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_099590697.1 hypothetical protein [Leptospirillum ferriphilum]
Length=75

 Score = 74.7 bits (182),  Expect(2) = 1e-21, Method: Compositional matrix adjust.
 Identities = 35/39 (90%), Positives = 37/39 (95%), Gaps = 0/39 (0%)
 Frame = -1
--
>WP_127523724.1 dTMP kinase [Mesorhizobium sp. Z1-4]
Length=224

 Score = 104 bits (259),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 62/146 (42%), Positives = 78/146 (53%), Gaps = 14/146 (10%)
 Frame = -3
--
>WP_007814093.1 dTMP kinase [Roseobacter sp. AzwK-3b]
Length=208

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 68/109 (62%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_100916068.1 dTMP kinase [Spiroplasma floricola]
Length=209

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 51/134 (38%), Positives = 79/134 (59%), Gaps = 8/134 (6%)
 Frame = -3
--
>WP_020833845.1 dTMP kinase [Spiroplasma taiwanense]
Length=209

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 53/139 (38%), Positives = 79/139 (57%), Gaps = 8/139 (6%)
 Frame = -3
--
>WP_010851303.1 dTMP kinase [Tetrasphaera elongata]
Length=207

 Score = 103 bits (257),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 58/156 (37%), Positives = 90/156 (58%), Gaps = 12/156 (8%)
 Frame = -3
--
>WP_010703748.1 dTMP kinase [Bartonella schoenbuchensis]
Length=214

 Score = 103 bits (258),  Expect = 1e-21, Method: Compositional matrix adjust.
 Identities = 58/141 (41%), Positives = 78/141 (55%), Gaps = 17/141 (12%)
 Frame = -3
--
>WP_106262588.1 dTMP kinase [Donghicola tyrosinivorans]
Length=213

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 68/105 (65%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_149779038.1 dTMP kinase [Roseovarius litoreus]
Length=208

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 68/109 (62%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_109310413.1 dTMP kinase [Ruegeria sp. AU67]
Length=208

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_138463090.1 MULTISPECIES: dTMP kinase [Microbispora]
Length=687

 Score = 95.9 bits (237),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/121 (41%), Positives = 70/121 (58%), Gaps = 16/121 (13%)
 Frame = -3
--
>WP_142573653.1 dTMP kinase [Microbispora bryophytorum]
Length=687

 Score = 96.7 bits (239),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/130 (41%), Positives = 75/130 (58%), Gaps = 14/130 (11%)
 Frame = -3
--
>WP_089407992.1 dTMP kinase [Granulicella rosea]
Length=223

 Score = 103 bits (258),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/121 (44%), Positives = 74/121 (61%), Gaps = 12/121 (10%)
 Frame = -3
--
>WP_072335717.1 dTMP kinase [Desulfovibrio piger]
Length=217

 Score = 98.6 bits (244),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 51/109 (47%), Positives = 67/109 (61%), Gaps = 16/109 (15%)
 Frame = -3
--
>WP_149280032.1 dTMP kinase [Acetobacter sp. KACC 21233]
Length=212

 Score = 103 bits (257),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/116 (46%), Positives = 75/116 (65%), Gaps = 7/116 (6%)
 Frame = -3
--
>WP_039524314.1 dTMP kinase [Ruegeria sp. ANG-S4]
Length=207

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 67/109 (61%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_114113269.1 dTMP kinase [Thalassospira profundimaris]
Length=218

 Score = 99.8 bits (247),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/119 (44%), Positives = 74/119 (62%), Gaps = 8/119 (7%)
 Frame = -3
--
>WP_111697831.1 dTMP kinase [Microbispora triticiradicis]
Length=687

 Score = 95.9 bits (237),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/121 (41%), Positives = 70/121 (58%), Gaps = 16/121 (13%)
 Frame = -3
--
>WP_142651889.1 MULTISPECIES: dTMP kinase [unclassified Microbispora]
Length=687

 Score = 96.7 bits (239),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/117 (43%), Positives = 70/117 (60%), Gaps = 8/117 (7%)
 Frame = -3
--
>WP_027260710.1 dTMP kinase [Sedimentitalea nanhaiensis]
Length=212

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 70/105 (67%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_058274424.1 dTMP kinase [Ruegeria atlantica]
Length=208

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_088370386.1 dTMP kinase [endosymbiont 'TC1' of Trimyema compressum]
Length=202

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 54/132 (41%), Positives = 77/132 (58%), Gaps = 8/132 (6%)
 Frame = -3
--
>WP_050602736.1 dTMP kinase [Ruegeria sp. 6PALISEP08]
Length=208

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_058349797.1 dTMP kinase [Caulobacter vibrioides]
Length=209

 Score = 95.1 bits (235),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/122 (43%), Positives = 71/122 (58%), Gaps = 8/122 (7%)
 Frame = -3
--
>WP_049556538.1 dTMP kinase [Nonomuraea sp. SBT364]
Length=680

 Score = 99.0 bits (245),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/123 (43%), Positives = 75/123 (61%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_039683174.1 dTMP kinase [Tateyamaria sp. ANG-S1]
Length=211

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 68/109 (62%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_058279655.1 dTMP kinase [Ruegeria atlantica]
Length=208

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_087861238.1 dTMP kinase [Brevefilum fermentans]
Length=206

 Score = 98.6 bits (244),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/116 (45%), Positives = 73/116 (63%), Gaps = 8/116 (7%)
 Frame = -3
--
>WP_108861556.1 dTMP kinase [Ruegeria sp. Alg231-54]
Length=208

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_025044202.1 dTMP kinase [Sulfitobacter geojensis]
Length=209

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 67/109 (61%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_062954879.1 MULTISPECIES: dTMP kinase [Thalassospira]
Length=218

 Score = 99.0 bits (245),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 51/119 (43%), Positives = 72/119 (61%), Gaps = 8/119 (7%)
 Frame = -3
--
>WP_054463686.1 dTMP kinase [Phaeobacter sp. 11ANDIMAR09]
Length=222

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/106 (47%), Positives = 71/106 (67%), Gaps = 8/106 (8%)
 Frame = -3
--
>WP_150939646.1 dTMP kinase [Microbispora sp. Gxj-6]
Length=687

 Score = 95.9 bits (237),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/121 (41%), Positives = 70/121 (58%), Gaps = 16/121 (13%)
 Frame = -3
--
>WP_037307790.1 dTMP kinase [Ruegeria halocynthiae]
Length=208

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 70/109 (64%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_101246217.1 dTMP kinase [Thalassospira lohafexi]
Length=218

 Score = 99.4 bits (246),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/119 (44%), Positives = 74/119 (62%), Gaps = 8/119 (7%)
 Frame = -3
--
>WP_113824968.1 dTMP kinase [Phaeobacter gallaeciensis]
Length=215

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 69/105 (66%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_073375410.1 dTMP kinase [Desulfofustis glycolicus]
Length=204

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 56/131 (43%), Positives = 77/131 (59%), Gaps = 11/131 (8%)
 Frame = -3
--
>WP_110794890.1 dTMP kinase [Rhodobacteraceae bacterium FSX-11]
Length=216

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 69/105 (66%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_071972258.1 dTMP kinase [Sulfitobacter sp. AM1-D1]
Length=212

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 51/109 (47%), Positives = 70/109 (64%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_119750990.1 dTMP kinase [Paracoccus sp. 1011MAR3C25]
Length=198

 Score = 102 bits (255),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 57/136 (42%), Positives = 77/136 (57%), Gaps = 16/136 (12%)
 Frame = -3
--
>WP_064223110.1 dTMP kinase [Sulfitobacter geojensis]
Length=209

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/109 (49%), Positives = 67/109 (61%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_018979594.1 dTMP kinase [Saccharibacter floricola]
Length=218

 Score = 89.7 bits (221),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 49/110 (45%), Positives = 69/110 (63%), Gaps = 7/110 (6%)
 Frame = -3
--
>WP_101715870.1 dTMP kinase [Caulobacter flavus]
Length=209

 Score = 95.1 bits (235),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/122 (43%), Positives = 71/122 (58%), Gaps = 8/122 (7%)
 Frame = -3
--
>WP_103539683.1 dTMP kinase, partial [Streptomyces sp. SM9]
Length=818

 Score = 100 bits (249),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 52/147 (35%), Positives = 80/147 (54%), Gaps = 16/147 (11%)
 Frame = -3
--
>WP_154068758.1 dTMP kinase [Rhodobacteraceae bacterium]
Length=208

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 70/109 (64%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_041247155.1 dTMP kinase [Komagataeibacter medellinensis]
Length=213

 Score = 97.8 bits (242),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 50/116 (43%), Positives = 71/116 (61%), Gaps = 7/116 (6%)
 Frame = -3
--
>WP_079417171.1 dTMP kinase [Paenibacillus ferrarius]
Length=219

 Score = 103 bits (257),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/123 (43%), Positives = 73/123 (59%), Gaps = 8/123 (7%)
 Frame = -3
--
>WP_038147708.1 dTMP kinase [Thioclava atlantica]
Length=204

 Score = 102 bits (255),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 51/104 (49%), Positives = 68/104 (65%), Gaps = 8/104 (8%)
 Frame = -3
--
>WP_082154920.1 dTMP kinase [Jiangella alkaliphila]
Length=247

 Score = 95.1 bits (235),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 49/115 (43%), Positives = 68/115 (59%), Gaps = 6/115 (5%)
 Frame = -3
--
>WP_071454136.1 dTMP kinase [Gloeomargarita lithophora]
Length=209

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 53/133 (40%), Positives = 82/133 (62%), Gaps = 6/133 (5%)
 Frame = -3
--
>WP_153471351.1 dTMP kinase [Komagataeibacter medellinensis]
Length=213

 Score = 97.8 bits (242),  Expect(2) = 2e-21, Method: Compositional matrix adjust.
 Identities = 49/105 (47%), Positives = 66/105 (63%), Gaps = 7/105 (7%)
 Frame = -3
--
>WP_101656693.1 dTMP kinase [Amylibacter cionae]
Length=207

 Score = 102 bits (255),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 58/140 (41%), Positives = 77/140 (55%), Gaps = 16/140 (11%)
 Frame = -3
--
>WP_058284263.1 dTMP kinase [Leisingera aquaemixtae]
Length=215

 Score = 103 bits (256),  Expect = 2e-21, Method: Compositional matrix adjust.
 Identities = 51/107 (48%), Positives = 70/107 (65%), Gaps = 8/107 (7%)
 Frame = -3
--
>WP_058864283.1 dTMP kinase [Ponticoccus marisrubri]
Length=206

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 53/111 (48%), Positives = 71/111 (64%), Gaps = 8/111 (7%)
 Frame = -3
--
>WP_144022748.1 dTMP kinase [Asanoa hainanensis]
Length=736

 Score = 92.8 bits (229),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 48/120 (40%), Positives = 72/120 (60%), Gaps = 7/120 (6%)
 Frame = -3
--
>WP_033182687.1 dTMP kinase [Rhizobium leguminosarum]
Length=226

 Score = 103 bits (257),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 58/151 (38%), Positives = 83/151 (55%), Gaps = 9/151 (6%)
 Frame = -3
--
>WP_020835946.1 dTMP kinase [Spiroplasma diminutum]
Length=209

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 51/134 (38%), Positives = 79/134 (59%), Gaps = 8/134 (6%)
 Frame = -3
--
>WP_115366214.1 dTMP kinase [Altererythrobacter sp. HME9302]
Length=212

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 56/121 (46%), Positives = 78/121 (64%), Gaps = 9/121 (7%)
 Frame = -3
--
>WP_141889780.1 dTMP kinase [Leisingera aquaemixtae]
Length=215

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 51/107 (48%), Positives = 70/107 (65%), Gaps = 8/107 (7%)
 Frame = -3
--
>WP_074068140.1 dTMP kinase [Rhizobium gallicum]
Length=227

 Score = 103 bits (257),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 63/157 (40%), Positives = 85/157 (54%), Gaps = 10/157 (6%)
 Frame = -3
--
>WP_078689757.1 dTMP kinase [Bartonella schoenbuchensis]
Length=214

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 57/141 (40%), Positives = 78/141 (55%), Gaps = 17/141 (12%)
 Frame = -3
--
>WP_034459308.1 dTMP kinase [Bartonella koehlerae]
Length=216

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 58/140 (41%), Positives = 79/140 (56%), Gaps = 10/140 (7%)
 Frame = -3
--
>WP_012557713.1 dTMP kinase [Rhizobium leguminosarum]
Length=226

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 63/158 (40%), Positives = 86/158 (54%), Gaps = 10/158 (6%)
 Frame = -3
--
>WP_081780037.1 dTMP kinase [Lactobacillus apodemi]
Length=222

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 53/142 (37%), Positives = 81/142 (57%), Gaps = 9/142 (6%)
 Frame = -3
--
>WP_065860376.1 dTMP kinase [Cutibacterium granulosum]
Length=263

 Score = 104 bits (259),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 58/166 (35%), Positives = 85/166 (51%), Gaps = 17/166 (10%)
 Frame = -3
--
>WP_103890820.1 dTMP kinase [Streptomyces yanglinensis]
Length=1075

 Score = 102 bits (253),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 51/139 (37%), Positives = 78/139 (56%), Gaps = 8/139 (6%)
 Frame = -3
--
>WP_134297013.1 dTMP kinase [Spiroplasma gladiatoris]
Length=212

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 54/139 (39%), Positives = 76/139 (55%), Gaps = 8/139 (6%)
 Frame = -3
--
>WP_142634830.1 dTMP kinase [Ruegeria faecimaris]
Length=207

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 54/109 (50%), Positives = 68/109 (62%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_005865229.1 dTMP kinase [Bartonella alsatica]
Length=211

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 55/141 (39%), Positives = 78/141 (55%), Gaps = 17/141 (12%)
 Frame = -3
--
>WP_099244397.1 dTMP kinase [Tropicibacter phthalicicus]
Length=212

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 67/105 (64%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_097589118.1 dTMP kinase [Rhizobium sp. J15]
Length=227

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 62/158 (39%), Positives = 85/158 (54%), Gaps = 10/158 (6%)
 Frame = -3
--
>WP_085828046.1 dTMP kinase [Roseovarius gaetbuli]
Length=208

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 52/109 (48%), Positives = 69/109 (63%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_119927200.1 dTMP kinase [Streptosporangiaceae bacterium YIM 75507]
Length=683

 Score = 102 bits (255),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 54/123 (44%), Positives = 74/123 (60%), Gaps = 10/123 (8%)
 Frame = -3
--
>WP_011048439.1 dTMP kinase [Ruegeria pomeroyi]
Length=211

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 50/109 (46%), Positives = 71/109 (65%), Gaps = 8/109 (7%)
 Frame = -3
--
>WP_028507274.1 dTMP kinase [Ruminococcaceae bacterium AB4001]
Length=206

 Score = 102 bits (254),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 60/148 (41%), Positives = 79/148 (53%), Gaps = 9/148 (6%)
 Frame = -3
--
>WP_074640536.1 dTMP kinase [Celeribacter baekdonensis]
Length=210

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 55/139 (40%), Positives = 80/139 (58%), Gaps = 16/139 (12%)
 Frame = -3
--
>WP_014099587.1 dTMP kinase [Chloracidobacterium thermophilum]
Length=218

 Score = 95.9 bits (237),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 52/114 (46%), Positives = 69/114 (61%), Gaps = 8/114 (7%)
 Frame = -3
--
>WP_084432020.1 dTMP kinase [Actinobaculum sp. oral taxon 183]
Length=212

 Score = 102 bits (255),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 59/135 (44%), Positives = 78/135 (58%), Gaps = 7/135 (5%)
 Frame = -3
--
>WP_079102016.1 dTMP kinase [Streptomyces thermoautotrophicus]
Length=943

 Score = 99.4 bits (246),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 50/123 (41%), Positives = 75/123 (61%), Gaps = 8/123 (7%)
 Frame = -3
--
>WP_138389155.1 dTMP kinase [Rhizobium sp. JKLM12A2]
Length=226

 Score = 103 bits (256),  Expect = 3e-21, Method: Compositional matrix adjust.
 Identities = 62/158 (39%), Positives = 86/158 (54%), Gaps = 10/158 (6%)
 Frame = -3
--
>WP_055532467.1 dTMP kinase, partial [Streptomyces graminilatus]
Length=769

 Score = 99.4 bits (246),  Expect(2) = 3e-21, Method: Compositional matrix adjust.
 Identities = 54/152 (36%), Positives = 81/152 (53%), Gaps = 27/152 (18%)
 Frame = -3
--
>WP_089882452.1 dTMP kinase [Citreimonas salinaria]
Length=212

 Score = 102 bits (255),  Expect = 4e-21, Method: Compositional matrix adjust.
 Identities = 52/105 (50%), Positives = 68/105 (65%), Gaps = 8/105 (8%)
 Frame = -3
--
>WP_012634610.1 dTMP kinase [Ruminiclostridium cellulolyticum]
Length=206

 Score = 102 bits (254),  Expect = 4e-21, Method: Compositional matrix adjust.
 Identities = 59/155 (38%), Positives = 85/155 (55%), Gaps = 10/155 (6%)
 Frame = -3
